Name,Color,Rarity,Total Observations in Card Packs,Total Times Picked Across Drafts,Average Draft Number,Number of Games Where Card in Maindeck,Percent of Games Where Card in Maindeck,Games Won with Card in Maindeck,Total Number of Opening Hand Plays,Games Won with Card in Opening Hand,Number of Times Drawn During Game,Games Won When Drawn During Game
Giant Beaver,G,C,254821,56120,5.55,313772,92.10%,55.50%,52595,55.00%,72995,55.90%
Gold Rush,G,U,138561,19647,8.54,58674,50.00%,53.30%,9341,51.30%,13394,53.70%
Goldvein Hydra,G,M,6188,4921,1.31,28589,94.40%,55.90%,5061,56.10%,6897,61.20%
Hardbristle Bandit,G,C,216982,53708,4.58,294646,91.00%,55.10%,53354,58.80%,66771,53.10%
Intrepid Stablemaster,G,U,72320,22633,3.59,129153,93.20%,55.90%,23176,59.40%,28859,54.70%
Map the Frontier,G,U,140836,16528,9.59,28380,29.20%,51.10%,4797,49.30%,6796,50.90%
Ornery Tumblewagg,G,R,13397,10488,1.4,62335,95.40%,57.50%,11155,64.70%,14796,60.90%
Outcaster Greenblade,G,U,57923,28932,2.75,165234,92.20%,57.50%,29871,61.10%,39526,61.40%
Outcaster Trailblazer,G,R,15800,9835,1.66,55929,93.40%,56.10%,10018,60.50%,13133,58.30%
Patient Naturalist,G,C,276358,65697,5.95,340160,85.00%,56.00%,60728,56.70%,78685,56.30%
Railway Brawler,G,M,5809,5056,1.22,30618,96.40%,58.00%,5326,66.50%,7517,64.10%
Rambling Possum,G,U,90609,22323,4.68,121143,90.10%,55.10%,21148,54.60%,27622,54.60%
Raucous Entertainer,G,U,99138,20507,5.32,104202,85.60%,53.70%,18313,52.60%,23580,52.40%
Reach for the Sky,G,C,374479,47887,10.84,67796,23.50%,54.50%,10460,53.80%,15643,56.20%
Rise of the Varmints,G,U,127296,21525,7.39,66867,52.10%,53.30%,10587,50.30%,15898,56.90%
Smuggler's Surprise,G,R,30169,8021,3.45,37921,78.70%,55.20%,6287,55.00%,8989,57.80%
Snakeskin Veil,G,C,298300,62554,6.7,319969,84.10%,56.00%,51234,56.40%,74425,57.60%
Spinewoods Armadillo,G,U,54645,25887,2.62,151453,94.70%,57.10%,26462,60.00%,36214,61.00%
Spinewoods Paladin,G,C,238534,61815,5,350687,93.30%,55.70%,58654,55.60%,84058,58.00%
Stubborn Burrowfiend,G,U,77731,28870,3.76,163606,92.00%,56.60%,29710,59.50%,37343,56.50%
Throw from the Saddle,G,C,201483,68560,4.06,394270,93.40%,56.70%,65786,57.50%,93267,59.90%
Trash the Town,G,U,85430,24820,4.25,135766,89.30%,56.40%,22157,56.00%,31880,59.60%
Tumbleweed Rising,G,C,341942,53059,8.66,166349,51.80%,55.30%,26976,54.80%,38449,56.30%
Voracious Varmint,G,C,323802,55383,7.64,259905,77.60%,55.00%,45368,54.80%,59140,54.40%
Akul the Unrepentant,BR,R,33586,6746,4.1,25683,65.90%,51.30%,4112,52.00%,6371,54.60%
"Annie Flash, the Veteran",WRG,M,10134,4899,2.18,25524,86.00%,55.80%,4157,56.60%,5985,60.90%
Annie Joins Up,WRG,R,53429,7651,7.3,16593,36.40%,53.50%,2683,52.70%,3746,54.20%
Assimilation Aegis,WU,M,11876,4708,2.62,21648,77.80%,53.60%,3647,54.30%,5722,58.40%
At Knifepoint,BR,U,111557,17847,6.72,63553,62.30%,50.00%,10676,49.70%,15899,50.70%
Badlands Revival,BG,U,100005,26853,5.21,125545,78.00%,54.60%,19761,52.50%,31600,58.70%
Baron Bertram Graywater,WB,U,115947,19067,6.96,65105,57.90%,52.60%,10615,50.80%,16589,55.70%
"Bonny Pall, Clearcutter",UG,R,14966,11113,1.58,64088,92.50%,57.40%,10693,64.10%,17097,67.60%
"Breeches, the Blastmaker",UR,R,48183,6949,6.68,14235,35.70%,48.50%,2416,48.30%,3852,50.20%
"Bruse Tarl, Roving Rancher",WR,R,20060,10576,2.12,57589,89.00%,56.20%,10001,60.20%,13672,61.30%
Cactusfolk Sureshot,RG,U,94251,19836,5.13,91069,76.10%,55.40%,15161,57.80%,20739,56.90%
Congregation Gryff,WG,U,81315,24181,4.1,128769,86.20%,57.10%,22471,58.20%,29741,57.50%
"Doc Aurlock, Grizzled Genius",UG,U,124788,18426,7.81,50261,47.00%,51.70%,8456,53.60%,12638,51.80%
"Eriette, the Beguiler",WUB,R,61046,7433,8.95,4155,9.50%,51.50%,687,47.70%,1156,56.90%
"Ertha Jo, Frontier Mentor",WR,U,107909,18870,6.19,72661,64.50%,54.30%,11872,55.10%,16585,56.60%
Form a Posse,WR,U,124557,18778,7.57,60784,54.50%,53.10%,9488,51.10%,14052,55.70%
"Ghired, Mirror of the Wilds",WRG,M,18784,3295,4.93,9025,46.70%,53.20%,1475,51.90%,1993,54.90%
"The Gitrog, Ravenous Ride",BG,M,7081,5085,1.49,28641,92.80%,55.60%,4823,57.50%,7104,61.40%
Honest Rutstein,BG,U,72671,26302,3.61,136815,85.70%,55.60%,23167,55.50%,33879,60.20%
Intimidation Campaign,UB,U,105646,23192,5.78,96497,71.00%,52.30%,16386,50.20%,26861,56.70%
"Jem Lightfoote, Sky Explorer",WU,U,110467,17006,6.69,56964,58.30%,50.30%,9435,49.50%,15541,52.90%
"Jolene, Plundering Pugilist",RG,U,97774,19351,5.4,85877,73.70%,54.80%,14805,56.40%,19505,55.90%
"Kambal, Profiteering Mayor",WB,R,34872,7678,4.27,30488,67.60%,52.80%,5131,55.30%,7609,55.70%
Kellan Joins Up,WUG,R,61665,7408,9.23,2253,5.20%,45.20%,359,,581,43.70%
"Kellan, the Kid",WUG,M,14890,3813,3.56,13557,61.70%,51.80%,2327,54.00%,3438,55.90%
"Kraum, Violent Cacophony",UR,U,110184,18101,6.52,66007,62.70%,51.30%,10973,52.30%,18839,55.00%
Laughing Jasper Flint,BR,R,17116,10164,1.81,56217,91.70%,54.30%,9688,58.00%,14297,58.60%
"Lazav, Familiar Stranger",UB,U,103461,21365,5.72,90798,73.00%,52.00%,15470,51.70%,25423,55.40%
"Lilah, Undefeated Slickshot",UR,R,45551,7113,6.15,19021,46.30%,50.30%,3262,51.80%,5426,53.30%
Make Your Own Luck,UG,U,113731,24549,6.32,98154,67.30%,53.60%,15954,53.10%,25475,56.60%
"Malcolm, the Eyes",UR,R,37464,7577,4.65,28057,63.50%,51.90%,4855,55.80%,7896,56.10%
"Marchesa, Dealer of Death",UBR,R,34630,8967,3.95,34845,67.20%,50.80%,5730,50.80%,9739,54.90%
"Miriam, Herd Whisperer",WG,U,82473,24100,4.15,123043,82.60%,57.20%,21489,60.30%,27619,57.50%
"Obeka, Splitter of Seconds",UBR,R,61555,7005,9.43,1014,2.50%,39.50%,159,,256,
"Oko, the Ringleader",UG,M,6429,4785,1.34,25708,90.50%,54.30%,4308,57.30%,6627,59.50%
Pillage the Bog,BG,R,50940,8855,6.54,26446,50.80%,53.50%,4418,50.80%,6574,57.60%
Rakdos Joins Up,BR,R,37582,6644,4.79,22781,58.90%,51.90%,3607,49.80%,5570,55.60%
"Rakdos, the Muscle",BR,M,7404,4906,1.58,27699,91.60%,56.20%,4667,62.50%,7248,64.90%
Riku of Many Paths,URG,R,56029,7456,8,6554,15.00%,49.00%,1085,46.50%,1800,51.20%
"Roxanne, Starfall Savant",RG,R,15371,10676,1.62,61863,92.80%,57.40%,10545,63.60%,14943,63.80%
Ruthless Lawbringer,WB,U,109902,24279,5.91,103753,71.00%,55.50%,17199,55.90%,26224,59.80%
"Satoru, the Infiltrator",UB,R,38864,8035,4.84,26801,57.60%,51.10%,4605,52.20%,7379,54.60%
"Selvala, Eager Trailblazer",WG,M,6919,5109,1.46,29007,92.40%,56.40%,4958,63.70%,7032,61.00%
Seraphic Steed,WG,R,18896,10287,2.05,57416,89.70%,57.60%,10172,66.00%,13286,60.30%
Slick Sequence,UR,U,126837,18424,7.94,58791,54.50%,51.70%,9875,52.30%,16885,57.00%
"Taii Wakeen, Perfect Shot",WR,R,46532,7385,6.25,19760,45.40%,52.60%,3453,53.70%,4313,52.00%
"Vial Smasher, Gleeful Grenadier",BR,U,101356,17109,5.93,69973,70.10%,51.90%,11981,55.70%,16820,52.80%
Vraska Joins Up,BG,R,57885,6624,8.82,3151,8.10%,45.80%,462,,746,46.40%
"Vraska, the Silencer",BG,M,10774,4119,2.38,19087,79.10%,52.70%,3270,52.80%,4729,55.80%
